i	height	delta	push_m	rock_m	push_i
0	0	0	0	0	0
1	3	3	4	1	4
2	6	3	8	2	8
3	10	4	12	3	12
4	10	0	16	4	16
5	11	1	28	0	28
6	14	3	32	1	32
7	17	3	36	2	36
8	17	0	40	3	40
9	19	2	57	4	57
10	19	0	61	0	61
11	19	0	69	1	69
12	22	3	76	2	76
13	24	2	80	3	80
14	24	0	86	4	86
15	25	1	95	0	95
16	27	2	99	1	99
17	28	1	104	2	104
18	30	2	110	3	110
19	30	0	116	4	116
20	31	1	123	0	123
21	33	2	127	1	127
22	34	1	132	2	132
23	37	3	138	3	138
24	39	2	143	4	143
25	40	1	147	0	147
26	43	3	151	1	151
27	46	3	155	2	155
28	46	0	159	3	159
29	48	2	167	4	167
30	48	0	171	0	171
31	51	3	177	1	177
32	51	0	181	2	181
33	52	1	189	3	189
34	54	2	196	4	196
35	55	1	200	0	200
36	58	3	204	1	204
37	58	0	208	2	208
38	60	2	215	3	215
39	60	0	221	4	221
40	61	1	227	0	227
41	63	2	231	1	231
42	64	1	236	2	236
43	66	2	242	3	242
44	66	0	248	4	248
45	67	1	255	0	255
46	70	3	259	1	259
47	73	3	263	2	263
48	77	4	267	3	267
49	77	0	271	4	271
50	78	1	281	0	281
51	78	0	285	1	285
52	81	3	295	2	295
53	85	4	299	3	299
54	85	0	303	4	303
55	85	0	317	0	317
56	88	3	327	1	327
57	91	3	331	2	331
58	93	2	335	3	335
59	93	0	341	4	341
60	94	1	351	0	351
61	96	2	355	1	355
62	98	2	360	2	360
63	100	2	365	3	365
64	100	0	371	4	371
65	101	1	381	0	381
66	104	3	385	1	385
67	107	3	389	2	389
68	111	4	393	3	393
69	111	0	397	4	397
70	112	1	416	0	416
71	115	3	420	1	420
72	115	0	424	2	424
73	117	2	431	3	431
74	117	0	437	4	437
75	118	1	443	0	443
76	121	3	447	1	447
77	124	3	451	2	451
78	124	0	455	3	455
79	124	0	469	4	469
80	125	1	475	0	475
81	128	3	479	1	479
82	128	0	483	2	483
83	132	4	490	3	490
84	132	0	494	4	494
85	132	0	502	0	502
86	134	2	508	1	508
87	137	3	513	2	513
88	137	0	517	3	517
89	137	0	527	4	527
90	138	1	533	0	533
91	140	2	537	1	537
92	143	3	542	2	542
93	143	0	546	3	546
94	145	2	554	4	554
95	145	0	558	0	558
96	147	2	564	1	564
97	149	2	569	2	569
98	151	2	574	3	574
99	153	2	580	4	580
100	154	1	584	0	584
101	157	3	588	1	588
102	160	3	592	2	592
103	160	0	596	3	596
104	160	0	614	4	614
105	161	1	620	0	620
106	164	3	624	1	624
107	167	3	628	2	628
108	167	0	632	3	632
